failure_id,run_id,step_id,failure_sequence,parent_failure_id,is_cascading,failure_type,failure_category,severity,severity_level,is_critical,failure_trigger,failure_description,recoverable
run_000001_f01,run_000001,run_000001_s011,1,,False,constraint_violation,reasoning,moderate-high,3,False,correct at step 11 in decision category 'correction',The final answer or an intermediate step violates an explicit task constraint.,True
run_000002_f01,run_000002,run_000002_s005,1,,False,tool_misuse,tool_use,moderate,2,False,tool_call at step 5 in decision category 'tool_selection',The tool is used in a way that violates its documented contract or intended use.,True
run_000008_f01,run_000008,run_000008_s004,1,,False,irrelevant_retrieval,retrieval,low-moderate,1,False,tool_call at step 4 in decision category 'retrieval',Retrieved content is topically unrelated to the information need.,True
run_000008_f02,run_000008,run_000008_s020r,2,,False,lost_context,state,moderate,2,False,correct at step 4.109999999999999 in decision category 'correction',"Long trajectories cause earlier, still-relevant context to no longer influence later decisions.",True
run_000008_f03,run_000008,run_000008_s022r,3,,False,logical_error,reasoning,moderate,2,False,correct at step 4.229999999999999 in decision category 'correction',The agent's derivation contains an invalid logical step.,True
run_000008_f04,run_000008,run_000008_s012,4,run_000008_f03,True,incorrect_final_answer,output,high,3,True,tool_call at step 12 in decision category 'tool_selection'; cascaded from run_000008_f03,The final answer does not match the ground truth for the task.,True
run_000009_f01,run_000009,run_000009_s005,1,,False,repeated_tool_call,tool_use,low,1,False,tool_call at step 5 in decision category 'retrieval',The agent calls the same tool with the same or near-identical arguments more than once without new information justifying it.,True
run_000009_f02,run_000009,run_000009_s016,2,,False,memory_failure,state,low-moderate,1,False,tool_call at step 16 in decision category 'execution',The agent fails to carry forward information established earlier in the same run.,True
run_000009_f03,run_000009,run_000009_s021r,3,run_000009_f02,True,constraint_violation,reasoning,moderate-high,3,False,correct at step 16.110000000000003 in decision category 'correction'; cascaded from run_000009_f02,The final answer or an intermediate step violates an explicit task constraint.,True
run_000010_f01,run_000010,run_000010_s003,1,,False,memory_failure,state,low-moderate,1,False,correct at step 3 in decision category 'correction',The agent fails to carry forward information established earlier in the same run.,True
run_000011_f01,run_000011,run_000011_s013,1,,False,failed_execution,execution,moderate-high,3,False,tool_call at step 13 in decision category 'execution',An execution action returns an error and the agent's trajectory does not account for it.,True
run_000011_f02,run_000011,run_000011_s020r,2,,False,memory_failure,state,low-moderate,1,False,correct at step 13.129999999999999 in decision category 'correction',The agent fails to carry forward information established earlier in the same run.,True
