task_id,task_domain,task_type,difficulty,task_description,constraints,required_capabilities,expected_tools,available_tools,ground_truth,success_criteria
task_00001,document_analysis,document_analysis,medium,Read the provided document set on hiring pipeline metrics and extract the 3 key claims with citations.,Must use only tools from the document_analysis toolset; Must return exactly 3 items,document analysis,"doc_retriever,file_reader,validator","doc_retriever,file_reader,validator",gt_document_analysis_hiring_pipeline_metrics_3items,"Final answer must contain exactly 3 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00002,rag,rag,easy,Answer the question about supply chain bottlenecks grounded only in the retrieved 5 passages.,Must use only tools from the rag toolset,rag,"doc_retriever,web_search,validator","doc_retriever,web_search,validator",gt_rag_supply_chain_bottlenecks_5items,"Final answer must contain exactly 5 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00003,file_operations,file_operations,easy,"Read hiring pipeline metrics, transform it, and write 5 output files with the results.",Must use only tools from the file_operations toolset,file operations,"file_reader,file_writer,validator","file_reader,file_writer,validator,code_executor",gt_file_operations_hiring_pipeline_metrics_5items,"Final answer must contain exactly 5 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00004,planning,planning,hard,Produce a 4-step plan to accomplish hiring pipeline metrics respecting the stated constraints.,Must use only tools from the planning toolset; Must return exactly 4 items; Must cite the source of every factual claim,planning,"doc_retriever,calculator,validator","doc_retriever,calculator,validator",gt_planning_hiring_pipeline_metrics_4items,"Final answer must contain exactly 4 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00005,structured_extraction,structured_extraction,easy,Extract 2 structured fields describing compliance audit findings from the source file.,Must use only tools from the structured_extraction toolset,structured extraction,"file_reader,doc_retriever,validator","file_reader,doc_retriever,validator,sql_query",gt_structured_extraction_compliance_audit_findings_2items,"Final answer must contain exactly 2 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00006,structured_extraction,structured_extraction,hard,Extract 4 structured fields describing inventory reorder points from the source file.,Must use only tools from the structured_extraction toolset; Must return exactly 4 items; Must cite the source of every factual claim,structured extraction,"file_reader,doc_retriever,validator","file_reader,doc_retriever,validator",gt_structured_extraction_inventory_reorder_points_4items,"Final answer must contain exactly 4 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00007,file_operations,file_operations,hard,"Read product defect reports, transform it, and write 3 output files with the results.",Must use only tools from the file_operations toolset; Must return exactly 3 items; Must cite the source of every factual claim,file operations,"file_reader,file_writer,validator","file_reader,file_writer,validator",gt_file_operations_product_defect_reports_3items,"Final answer must contain exactly 3 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00008,rag,rag,easy,Answer the question about product defect reports grounded only in the retrieved 3 passages.,Must use only tools from the rag toolset,rag,"doc_retriever,web_search,validator","doc_retriever,web_search,validator,file_reader",gt_rag_product_defect_reports_3items,"Final answer must contain exactly 3 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00009,structured_extraction,structured_extraction,medium,Extract 5 structured fields describing shipping delay root causes from the source file.,Must use only tools from the structured_extraction toolset; Must return exactly 5 items,structured extraction,"file_reader,doc_retriever,validator","file_reader,doc_retriever,validator",gt_structured_extraction_shipping_delay_root_causes_5items,"Final answer must contain exactly 5 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00010,file_operations,file_operations,easy,"Read competitor feature matrix, transform it, and write 3 output files with the results.",Must use only tools from the file_operations toolset,file operations,"file_reader,file_writer,validator","file_reader,file_writer,validator,code_executor",gt_file_operations_competitor_feature_matrix_3items,"Final answer must contain exactly 3 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00011,constraint_satisfaction,constraint_satisfaction,easy,Find an assignment for shipping delay root causes satisfying all 4 stated constraints.,Must use only tools from the constraint_satisfaction toolset,constraint satisfaction,"validator,calculator,sql_query","validator,calculator,sql_query,code_executor",gt_constraint_satisfaction_shipping_delay_root_causes_4items,"Final answer must contain exactly 4 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00012,information_retrieval,information_retrieval,medium,Find the 3 most relevant sources for competitor feature matrix and rank them by relevance.,Must use only tools from the information_retrieval toolset; Must return exactly 3 items,information retrieval,"web_search,doc_retriever,validator","web_search,doc_retriever,validator",gt_information_retrieval_competitor_feature_matrix_3items,"Final answer must contain exactly 3 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00013,multi_step_reasoning,multi_step_reasoning,easy,Answer a multi-step question about budget variance analysis requiring 5 intermediate computations.,Must use only tools from the multi_step_reasoning toolset,multi step reasoning,"calculator,sql_query,validator","calculator,sql_query,validator",gt_multi_step_reasoning_budget_variance_analysis_5items,"Final answer must contain exactly 5 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00014,constraint_satisfaction,constraint_satisfaction,medium,Find an assignment for subscription renewal rates satisfying all 3 stated constraints.,Must use only tools from the constraint_satisfaction toolset; Must return exactly 3 items,constraint satisfaction,"validator,calculator,sql_query","validator,calculator,sql_query",gt_constraint_satisfaction_subscription_renewal_rates_3items,"Final answer must contain exactly 3 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00015,multi_step_reasoning,multi_step_reasoning,easy,Answer a multi-step question about vendor contract terms requiring 5 intermediate computations.,Must use only tools from the multi_step_reasoning toolset,multi step reasoning,"calculator,sql_query,validator","calculator,sql_query,validator",gt_multi_step_reasoning_vendor_contract_terms_5items,"Final answer must contain exactly 5 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00016,web_research,web_research,medium,Research marketing campaign ROI using web search and summarize the top 4 findings with sources.,Must use only tools from the web_research toolset; Must return exactly 4 items,web research,"web_search,browser,validator","web_search,browser,validator",gt_web_research_marketing_campaign_ROI_4items,"Final answer must contain exactly 4 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00017,structured_extraction,structured_extraction,medium,Extract 2 structured fields describing marketing campaign ROI from the source file.,Must use only tools from the structured_extraction toolset; Must return exactly 2 items,structured extraction,"file_reader,doc_retriever,validator","file_reader,doc_retriever,validator,sql_query",gt_structured_extraction_marketing_campaign_ROI_2items,"Final answer must contain exactly 2 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00018,document_analysis,document_analysis,medium,Read the provided document set on server incident timeline and extract the 3 key claims with citations.,Must use only tools from the document_analysis toolset; Must return exactly 3 items,document analysis,"doc_retriever,file_reader,validator","doc_retriever,file_reader,validator",gt_document_analysis_server_incident_timeline_3items,"Final answer must contain exactly 3 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00019,document_analysis,document_analysis,medium,Read the provided document set on hiring pipeline metrics and extract the 4 key claims with citations.,Must use only tools from the document_analysis toolset; Must return exactly 4 items,document analysis,"doc_retriever,file_reader,validator","doc_retriever,file_reader,validator",gt_document_analysis_hiring_pipeline_metrics_4items,"Final answer must contain exactly 4 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00020,structured_extraction,structured_extraction,easy,Extract 2 structured fields describing pricing tier comparison from the source file.,Must use only tools from the structured_extraction toolset,structured extraction,"file_reader,doc_retriever,validator","file_reader,doc_retriever,validator,sql_query",gt_structured_extraction_pricing_tier_comparison_2items,"Final answer must contain exactly 2 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00021,verification,verification,medium,Verify the 5 claims about employee onboarding steps against the source data and flag unsupported ones.,Must use only tools from the verification toolset; Must return exactly 5 items,verification,"validator,sql_query,calculator","validator,sql_query,calculator,web_search",gt_verification_employee_onboarding_steps_5items,"Final answer must contain exactly 5 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00022,rag,rag,easy,Answer the question about subscription renewal rates grounded only in the retrieved 3 passages.,Must use only tools from the rag toolset,rag,"doc_retriever,web_search,validator","doc_retriever,web_search,validator,file_reader",gt_rag_subscription_renewal_rates_3items,"Final answer must contain exactly 3 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00023,planning,planning,medium,Produce a 4-step plan to accomplish server incident timeline respecting the stated constraints.,Must use only tools from the planning toolset; Must return exactly 4 items,planning,"doc_retriever,calculator,validator","doc_retriever,calculator,validator",gt_planning_server_incident_timeline_4items,"Final answer must contain exactly 4 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00024,constraint_satisfaction,constraint_satisfaction,medium,Find an assignment for compliance audit findings satisfying all 5 stated constraints.,Must use only tools from the constraint_satisfaction toolset; Must return exactly 5 items,constraint satisfaction,"validator,calculator,sql_query","validator,calculator,sql_query,code_executor",gt_constraint_satisfaction_compliance_audit_findings_5items,"Final answer must contain exactly 5 items, each traceable to a tool observation, and satisfy all stated constraints."
