taxonomy_id,level_1,level_2,definition,example,severity_guidance,recoverable_typically
TAX-001,planning,incorrect_decomposition,"The agent splits the task into sub-goals that do not, even if all completed, satisfy the original request.",Task asks to reconcile two files; agent plans only to summarize one of them.,moderate-high,True
TAX-002,planning,premature_execution,The agent takes an execution action before gathering information required to do it correctly.,Agent calls a write/update tool before reading the current state it needs to update.,moderate,True
TAX-003,planning,missing_prerequisite,The plan omits a step whose output a later step depends on.,Agent tries to filter records by a field it never fetched.,moderate,True
TAX-004,planning,wrong_sequence,Necessary steps are present but ordered so that a later step cannot use an earlier step's output correctly.,Agent validates a computed total before the computation step has run.,low-moderate,True
TAX-005,tool_use,wrong_tool,The agent selects a tool that cannot accomplish the current sub-goal.,Agent calls a calculator tool to answer a lookup question that requires retrieval.,moderate,True
TAX-006,tool_use,wrong_arguments,"The correct tool is selected but called with malformed, mistyped, or semantically incorrect arguments.",Agent passes a string where the tool schema requires a date in ISO format.,low-moderate,True
TAX-007,tool_use,tool_misuse,The tool is used in a way that violates its documented contract or intended use.,Agent uses a read-only search tool's raw query field to attempt a write operation.,moderate,True
TAX-008,tool_use,repeated_tool_call,The agent calls the same tool with the same or near-identical arguments more than once without new information justifying it.,Agent re-issues an identical search query after already receiving results for it.,low,True
TAX-009,tool_use,tool_loop,The agent enters a cycle of tool calls that does not converge toward task completion.,Agent alternates between two tools for many steps without the trajectory state changing.,high,False
TAX-010,retrieval,retrieval_miss,A retrieval/search action fails to surface information that was available and necessary.,Agent searches with terms too narrow to match the document containing the answer.,moderate,True
TAX-011,retrieval,irrelevant_retrieval,Retrieved content is topically unrelated to the information need.,Agent's query returns documents about a different but similarly named entity.,low-moderate,True
TAX-012,retrieval,stale_information,"The agent relies on retrieved information that was superseded by more recent, contradicting information available in the same session.",Agent uses an early tool result after a later tool call already corrected it.,moderate,True
TAX-013,retrieval,context_conflict,Two retrieved sources disagree and the agent does not detect or resolve the conflict.,Agent combines figures from two documents that use incompatible definitions.,moderate-high,True
TAX-014,reasoning,logical_error,The agent's derivation contains an invalid logical step.,Agent concludes B follows from A when the retrieved evidence only supports 'A is possible'.,moderate,True
TAX-015,reasoning,constraint_violation,The final answer or an intermediate step violates an explicit task constraint.,Task caps a budget field at 5 items; agent returns 7.,moderate-high,True
TAX-016,reasoning,incorrect_inference,The agent draws a conclusion not supported by the available evidence.,Agent infers a company is profitable from a single quarter's revenue figure alone.,moderate,True
TAX-017,reasoning,numerical_error,An arithmetic or unit computation is wrong.,Agent sums a percentage column instead of computing a weighted average.,moderate,True
TAX-018,state,state_tracking_error,The agent's internal representation of task progress diverges from the actual trajectory state.,Agent believes a file has already been created when the create call actually failed.,moderate-high,True
TAX-019,state,memory_failure,The agent fails to carry forward information established earlier in the same run.,Agent re-asks for a constraint the task description already specified.,low-moderate,True
TAX-020,state,lost_context,"Long trajectories cause earlier, still-relevant context to no longer influence later decisions.",Agent's final answer ignores a constraint stated in step 2 of a 40-step run.,moderate,True
TAX-021,verification,failure_to_verify,The agent skips an available verification step before finalizing.,Agent produces a computed answer without checking it against the source data.,moderate,True
TAX-022,verification,false_verification,The agent runs a verification step but the check itself is flawed and passes incorrect work.,Agent 'verifies' a total by re-running the same buggy computation.,high,False
TAX-023,verification,unsupported_conclusion,The agent presents a conclusion as verified when no verification actually occurred.,Agent states 'confirmed against source' with no corresponding verification step in the trajectory.,high,False
TAX-024,execution,partial_execution,A multi-part action only partially completes and the agent proceeds as if it fully completed.,"Agent updates 3 of 5 required records, then reports the update as done.",moderate-high,True
TAX-025,execution,failed_execution,An execution action returns an error and the agent's trajectory does not account for it.,Tool call errors out; agent's next step ignores the error and proceeds as though it succeeded.,moderate-high,True
